# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-06-24 at 11:11:37
#
# Requested input R.A. = 217.05016666666663 degrees
# Requested input Dec. = -1.604163888888889 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460486.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 426 9 0 ZTF_r 444360213215 0 2.2473 198.498 6.47043 26.2162 3.2438e-06 0.0210395 0.0939833 6.13239e-06 782 30. 0.047093 0.046138 20.2884 26.2162 1 2458198.8602199 426120232 2.3793617431999 27.2791714726088 0.0970251001805573 1.16117740067127 -15.2299270798525 48.326003473923 -0.317272284335726 1.05566184637811 2.51932637293292 21.463000202179 0.111000001430511 1.1360000371933 0.168999999761581 2458186.957928 2458288.733333 0
 1 427 12 1 ZTF_g 449375434515 0 2.1382 171.385 8.1189 26.2531 7.0792e-06 0.0318853 -0.0603673 1.52146e-05 773 30. 0.046103 0.05006 20.1843 26.2531 1 2458203.8754398 427120145 -47.9062705192882 34.3347819940514 -1.55207559268175 1.03297041137117 -88.992248158874 60.2809191113637 -1.48623507058465 1.07240797399602 1.75691398599407 22.093000125885 0.239999994635582 1.72800004482269 0.0109999999403954 2458203.875440 2458336.671343 0
 2 427 12 1 ZTF_g 449396824515 0 2.5409 173.53 7.51135 26.2417 7.9657e-06 0.0332215 -0.0319084 1.78796e-05 747 30. 0.049276 0.057064 20.1432 26.2417 1 2458203.8968287 427120145 -5.30963358763813 39.0945775658275 -0.151078557054672 0.931356051223592 11.1000914470929 61.0400280687891 0.183074149131096 1.12870410942299 1.75691398599407 22.093000125885 0.239999994635582 1.72800004482269 0.0109999999403954 2458203.875440 2458336.671343 0
 3 426 9 0 ZTF_g 450340193215 0 3.5849 127.077 9.48805 26.1912 1.88431e-05 0.0424516 -0.0763803 4.62651e-05 581 30. 0.078607 0.065591 19.4267 26.1912 1 2458204.8401968 426120132 0.471999432614725 55.9371649625832 0.00938633015913224 1.17053322446856 78.1088057816029 75.6805503997061 1.03903674943186 1.10961840658625 1.91577673220061 21.8789999008179 0.170000001788139 1.12300002574921 0.138999998569489 2458204.840197 2458348.651308 0
 4 426 9 0 ZTF_g 450386773215 0 3.0881 129.151 9.07645 26.2007 1.3747e-05 0.0389155 -0.0601217 3.23645e-05 663 30. 0.062748 0.056766 19.6253 26.2007 1 2458204.8867708 426120132 -6.60022558628279 55.9914935465527 -0.131126819724732 0.939753649029375 8.10509407590056 82.2353830422367 0.099223497829842 1.09545640098695 1.91577673220061 21.8789999008179 0.170000001788139 1.12300002574921 0.138999998569489 2458204.840197 2458348.651308 0
 5 427 12 1 ZTF_g 452367514515 0 2.1657 174.151 13.6484 26.2927 1.19199e-05 0.0382582 -0.051612 2.96108e-05 689 30. 0.04855 0.049911 19.6262 26.2927 1 2458206.8675116 427120145 103.458736651759 54.4525309923594 2.11350802455686 1.24302899497793 176.474875142889 96.2220043394329 1.84639100796234 1.06884136623829 1.75691398599407 22.093000125885 0.239999994635582 1.72800004482269 0.0109999999403954 2458203.875440 2458336.671343 0
 6 427 12 1 ZTF_g 452378804515 0 2.2101 175.966 13.5223 26.3054 1.54193e-05 0.0422623 -0.0462781 4.08497e-05 666 30. 0.048319 0.0479 19.6281 26.3054 1 2458206.8788079 427120145 -46.7325243767019 65.4069778859228 -0.794785543700745 1.00025360259848 -105.488270165937 110.800807833018 -0.958465392191078 1.08557261435354 1.75691398599407 22.093000125885 0.239999994635582 1.72800004482269 0.0109999999403954 2458203.875440 2458336.671343 0
 7 426 9 0 ZTF_g 453350083215 0 2.0782 126.463 17.9014 26.1926 1.44524e-05 0.0369775 -0.0371533 3.65118e-05 587 30. 0.049908 0.052354 19.1969 26.1926 1 2458207.850081 426120132 -10.0605991525802 84.1495121909941 -0.132992467535716 1.01470999814108 195.546330073726 146.959221189666 1.3395780425608 1.08735538126077 1.91577673220061 21.8789999008179 0.170000001788139 1.12300002574921 0.138999998569489 2458204.840197 2458348.651308 0
 8 426 9 0 ZTF_g 453360653215 0 2.0823 127.45 17.8259 26.2087 1.16059e-05 0.033215 -0.0726228 2.89488e-05 588 30. 0.046736 0.044585 19.2204 26.2087 1 2458207.8606597 426120132 41.0117560598141 83.0452814316953 0.549348831881732 1.00571895643139 -29.2217969303071 147.423494937888 -0.199551689005208 1.08565278351129 1.91577673220061 21.8789999008179 0.170000001788139 1.12300002574921 0.138999998569489 2458204.840197 2458348.651308 0
